Indicator,Group,State,Time Period Label,Percentage,Confidence Interval
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,"Apr 14 - Apr 26, 2021",36.1,30.3 - 42.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,"Apr 14 - Apr 26, 2021",31.2,26.4 - 36.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,"Apr 14 - Apr 26, 2021",32.6,28.3 - 37.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,"Apr 14 - Apr 26, 2021",27.3,23.4 - 31.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,"Apr 14 - Apr 26, 2021",32.7,28.7 - 36.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,"Apr 14 - Apr 26, 2021",30.8,26.6 - 35.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,"Apr 14 - Apr 26, 2021",31.2,27.1 - 35.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,"Apr 14 - Apr 26, 2021",31.2,25.7 - 37.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,"Apr 14 - Apr 26, 2021",31.4,26.0 - 37.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,"Apr 14 - Apr 26, 2021",27.1,23.3 - 31.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,"Apr 14 - Apr 26, 2021",29.1,24.3 - 34.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,"Apr 14 - Apr 26, 2021",33.3,29.3 - 37.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,"Apr 14 - Apr 26, 2021",30.2,26.6 - 34.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,"Apr 14 - Apr 26, 2021",26.5,21.4 - 32.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,"Apr 14 - Apr 26, 2021",29.8,23.7 - 36.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,"Apr 14 - Apr 26, 2021",26.6,20.5 - 33.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,"Apr 14 - Apr 26, 2021",31.9,28.0 - 35.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,"Apr 14 - Apr 26, 2021",34.6,31.1 - 38.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,"Apr 14 - Apr 26, 2021",25.1,21.4 - 29.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,"Apr 14 - Apr 26, 2021",31.4,25.0 - 38.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,"Apr 14 - Apr 26, 2021",25.8,21.3 - 30.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,"Apr 14 - Apr 26, 2021",29.7,26.5 - 33.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,"Apr 14 - Apr 26, 2021",42.1,35.5 - 48.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,"Apr 14 - Apr 26, 2021",26.0,23.1 - 29.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,"Apr 14 - Apr 26, 2021",22.0,17.2 - 27.4
Symptoms of Depressive Disorder,National Estimate,United States,"Apr 28 - May 10, 2021",21.9,21.3 - 22.6
Symptoms of Depressive Disorder,By State,Alabama,"Apr 28 - May 10, 2021",27.3,22.5 - 32.5
Symptoms of Depressive Disorder,By State,Alaska,"Apr 28 - May 10, 2021",24.4,21.1 - 28.0
Symptoms of Depressive Disorder,By State,Arizona,"Apr 28 - May 10, 2021",20.4,17.4 - 23.8
Symptoms of Depressive Disorder,By State,Arkansas,"Apr 28 - May 10, 2021",27.2,21.8 - 33.0
Symptoms of Depressive Disorder,By State,California,"Apr 28 - May 10, 2021",23.1,20.6 - 25.9
Symptoms of Depressive Disorder,By State,Colorado,"Apr 28 - May 10, 2021",21.3,18.5 - 24.3
Symptoms of Depressive Disorder,By State,Connecticut,"Apr 28 - May 10, 2021",18.2,15.0 - 21.7
Symptoms of Depressive Disorder,By State,Delaware,"Apr 28 - May 10, 2021",23.1,18.4 - 28.4
Symptoms of Depressive Disorder,By State,District of Columbia,"Apr 28 - May 10, 2021",21.0,15.6 - 27.3
Symptoms of Depressive Disorder,By State,Florida,"Apr 28 - May 10, 2021",25.7,22.3 - 29.4
Symptoms of Depressive Disorder,By State,Georgia,"Apr 28 - May 10, 2021",23.0,19.5 - 26.8
Symptoms of Depressive Disorder,By State,Hawaii,"Apr 28 - May 10, 2021",15.9,12.0 - 20.5
Symptoms of Depressive Disorder,By State,Idaho,"Apr 28 - May 10, 2021",17.7,14.2 - 21.6
Symptoms of Depressive Disorder,By State,Illinois,"Apr 28 - May 10, 2021",21.2,18.1 - 24.5
Symptoms of Depressive Disorder,By State,Indiana,"Apr 28 - May 10, 2021",20.4,16.7 - 24.6
Symptoms of Depressive Disorder,By State,Iowa,"Apr 28 - May 10, 2021",19.5,15.8 - 23.6
Symptoms of Depressive Disorder,By State,Kansas,"Apr 28 - May 10, 2021",21.7,17.9 - 25.9
Symptoms of Depressive Disorder,By State,Kentucky,"Apr 28 - May 10, 2021",25.3,19.7 - 31.6
Symptoms of Depressive Disorder,By State,Louisiana,"Apr 28 - May 10, 2021",26.0,21.5 - 30.8
Symptoms of Depressive Disorder,By State,Maine,"Apr 28 - May 10, 2021",18.9,15.1 - 23.2
Symptoms of Depressive Disorder,By State,Maryland,"Apr 28 - May 10, 2021",18.4,15.8 - 21.2
Symptoms of Depressive Disorder,By State,Massachusetts,"Apr 28 - May 10, 2021",19.1,16.6 - 21.6
Symptoms of Depressive Disorder,By State,Michigan,"Apr 28 - May 10, 2021",20.7,17.6 - 24.0
Symptoms of Depressive Disorder,By State,Minnesota,"Apr 28 - May 10, 2021",14.9,12.0 - 18.3
Symptoms of Depressive Disorder,By State,Mississippi,"Apr 28 - May 10, 2021",16.1,11.8 - 21.1
Symptoms of Depressive Disorder,By State,Missouri,"Apr 28 - May 10, 2021",20.8,16.8 - 25.2
Symptoms of Depressive Disorder,By State,Montana,"Apr 28 - May 10, 2021",17.8,12.7 - 23.9
Symptoms of Depressive Disorder,By State,Nebraska,"Apr 28 - May 10, 2021",20.3,16.4 - 24.7
Symptoms of Depressive Disorder,By State,Nevada,"Apr 28 - May 10, 2021",21.3,17.4 - 25.7
Symptoms of Depressive Disorder,By State,New Hampshire,"Apr 28 - May 10, 2021",14.6,11.5 - 18.3
Symptoms of Depressive Disorder,By State,New Jersey,"Apr 28 - May 10, 2021",20.6,17.1 - 24.5
Symptoms of Depressive Disorder,By State,New Mexico,"Apr 28 - May 10, 2021",20.4,16.7 - 24.5
Symptoms of Depressive Disorder,By State,New York,"Apr 28 - May 10, 2021",21.2,17.6 - 25.2
Symptoms of Depressive Disorder,By State,North Carolina,"Apr 28 - May 10, 2021",23.4,18.6 - 28.8
Symptoms of Depressive Disorder,By State,North Dakota,"Apr 28 - May 10, 2021",16.7,12.2 - 22.0
Symptoms of Depressive Disorder,By State,Ohio,"Apr 28 - May 10, 2021",23.9,19.8 - 28.3
Symptoms of Depressive Disorder,By State,Oklahoma,"Apr 28 - May 10, 2021",23.3,19.0 - 28.1
Symptoms of Depressive Disorder,By State,Oregon,"Apr 28 - May 10, 2021",23.9,21.1 - 26.9
Symptoms of Depressive Disorder,By State,Pennsylvania,"Apr 28 - May 10, 2021",19.5,16.5 - 22.8
Symptoms of Depressive Disorder,By State,Rhode Island,"Apr 28 - May 10, 2021",14.9,11.2 - 19.3
Symptoms of Depressive Disorder,By State,South Carolina,"Apr 28 - May 10, 2021",20.7,16.2 - 25.8
Symptoms of Depressive Disorder,By State,South Dakota,"Apr 28 - May 10, 2021",19.8,14.6 - 26.0
Symptoms of Depressive Disorder,By State,Tennessee,"Apr 28 - May 10, 2021",22.3,18.4 - 26.6
Symptoms of Depressive Disorder,By State,Texas,"Apr 28 - May 10, 2021",23.9,21.4 - 26.4
Symptoms of Depressive Disorder,By State,Utah,"Apr 28 - May 10, 2021",21.0,17.9 - 24.3
Symptoms of Depressive Disorder,By State,Vermont,"Apr 28 - May 10, 2021",20.5,14.7 - 27.4
Symptoms of Depressive Disorder,By State,Virginia,"Apr 28 - May 10, 2021",19.4,15.6 - 23.7
Symptoms of Depressive Disorder,By State,Washington,"Apr 28 - May 10, 2021",22.7,19.5 - 26.1
Symptoms of Depressive Disorder,By State,West Virginia,"Apr 28 - May 10, 2021",24.8,19.1 - 31.3
Symptoms of Depressive Disorder,By State,Wisconsin,"Apr 28 - May 10, 2021",19.7,15.8 - 24.0
Symptoms of Depressive Disorder,By State,Wyoming,"Apr 28 - May 10, 2021",16.4,11.7 - 22.1
Symptoms of Anxiety Disorder,National Estimate,United States,"Apr 28 - May 10, 2021",26.5,25.8 - 27.2
Symptoms of Anxiety Disorder,By State,Alabama,"Apr 28 - May 10, 2021",28.1,23.7 - 33.0
Symptoms of Anxiety Disorder,By State,Alaska,"Apr 28 - May 10, 2021",29.7,25.4 - 34.2
Symptoms of Anxiety Disorder,By State,Arizona,"Apr 28 - May 10, 2021",25.8,22.0 - 29.8
Symptoms of Anxiety Disorder,By State,Arkansas,"Apr 28 - May 10, 2021",29.9,24.6 - 35.7
Symptoms of Anxiety Disorder,By State,California,"Apr 28 - May 10, 2021",28.5,25.7 - 31.4
Symptoms of Anxiety Disorder,By State,Colorado,"Apr 28 - May 10, 2021",25.7,22.4 - 29.2
Symptoms of Anxiety Disorder,By State,Connecticut,"Apr 28 - May 10, 2021",25.8,22.3 - 29.6
Symptoms of Anxiety Disorder,By State,Delaware,"Apr 28 - May 10, 2021",26.3,21.1 - 31.9
Symptoms of Anxiety Disorder,By State,District of Columbia,"Apr 28 - May 10, 2021",25.0,20.5 - 30.0
Symptoms of Anxiety Disorder,By State,Florida,"Apr 28 - May 10, 2021",29.2,25.0 - 33.8
Symptoms of Anxiety Disorder,By State,Georgia,"Apr 28 - May 10, 2021",26.0,22.5 - 29.7
Symptoms of Anxiety Disorder,By State,Hawaii,"Apr 28 - May 10, 2021",20.6,17.2 - 24.3
Symptoms of Anxiety Disorder,By State,Idaho,"Apr 28 - May 10, 2021",23.0,19.4 - 27.0
Symptoms of Anxiety Disorder,By State,Illinois,"Apr 28 - May 10, 2021",26.6,23.4 - 29.9
Symptoms of Anxiety Disorder,By State,Indiana,"Apr 28 - May 10, 2021",24.3,20.6 - 28.3
Symptoms of Anxiety Disorder,By State,Iowa,"Apr 28 - May 10, 2021",25.2,21.2 - 29.4
Symptoms of Anxiety Disorder,By State,Kansas,"Apr 28 - May 10, 2021",25.7,21.5 - 30.4
Symptoms of Anxiety Disorder,By State,Kentucky,"Apr 28 - May 10, 2021",30.8,25.2 - 36.7
Symptoms of Anxiety Disorder,By State,Louisiana,"Apr 28 - May 10, 2021",30.4,25.2 - 36.0
Symptoms of Anxiety Disorder,By State,Maine,"Apr 28 - May 10, 2021",23.3,19.1 - 28.0
Symptoms of Anxiety Disorder,By State,Maryland,"Apr 28 - May 10, 2021",22.6,19.7 - 25.6
Symptoms of Anxiety Disorder,By State,Massachusetts,"Apr 28 - May 10, 2021",24.3,21.9 - 26.8
Symptoms of Anxiety Disorder,By State,Michigan,"Apr 28 - May 10, 2021",26.3,22.9 - 29.8
Symptoms of Anxiety Disorder,By State,Minnesota,"Apr 28 - May 10, 2021",20.8,18.1 - 23.8
Symptoms of Anxiety Disorder,By State,Mississippi,"Apr 28 - May 10, 2021",19.1,15.4 - 23.1
Symptoms of Anxiety Disorder,By State,Missouri,"Apr 28 - May 10, 2021",26.5,22.5 - 30.7
Symptoms of Anxiety Disorder,By State,Montana,"Apr 28 - May 10, 2021",21.7,16.7 - 27.4
Symptoms of Anxiety Disorder,By State,Nebraska,"Apr 28 - May 10, 2021",28.5,24.6 - 32.7
Symptoms of Anxiety Disorder,By State,Nevada,"Apr 28 - May 10, 2021",24.2,20.2 - 28.6
Symptoms of Anxiety Disorder,By State,New Hampshire,"Apr 28 - May 10, 2021",23.3,18.9 - 28.2
Symptoms of Anxiety Disorder,By State,New Jersey,"Apr 28 - May 10, 2021",23.3,19.7 - 27.2
Symptoms of Anxiety Disorder,By State,New Mexico,"Apr 28 - May 10, 2021",25.4,21.6 - 29.4
Symptoms of Anxiety Disorder,By State,New York,"Apr 28 - May 10, 2021",27.4,23.3 - 31.8
Symptoms of Anxiety Disorder,By State,North Carolina,"Apr 28 - May 10, 2021",29.6,25.1 - 34.4
Symptoms of Anxiety Disorder,By State,North Dakota,"Apr 28 - May 10, 2021",21.7,17.0 - 27.1
Symptoms of Anxiety Disorder,By State,Ohio,"Apr 28 - May 10, 2021",25.8,21.2 - 30.9
Symptoms of Anxiety Disorder,By State,Oklahoma,"Apr 28 - May 10, 2021",29.7,26.2 - 33.3
Symptoms of Anxiety Disorder,By State,Oregon,"Apr 28 - May 10, 2021",27.8,24.4 - 31.3
Symptoms of Anxiety Disorder,By State,Pennsylvania,"Apr 28 - May 10, 2021",23.6,20.6 - 26.7
Symptoms of Anxiety Disorder,By State,Rhode Island,"Apr 28 - May 10, 2021",21.6,17.8 - 25.8
Symptoms of Anxiety Disorder,By State,South Carolina,"Apr 28 - May 10, 2021",25.7,21.5 - 30.3
Symptoms of Anxiety Disorder,By State,South Dakota,"Apr 28 - May 10, 2021",23.0,17.3 - 29.6
Symptoms of Anxiety Disorder,By State,Tennessee,"Apr 28 - May 10, 2021",25.2,21.5 - 29.2
Symptoms of Anxiety Disorder,By State,Texas,"Apr 28 - May 10, 2021",28.3,25.5 - 31.2
Symptoms of Anxiety Disorder,By State,Utah,"Apr 28 - May 10, 2021",25.8,22.5 - 29.2
Symptoms of Anxiety Disorder,By State,Vermont,"Apr 28 - May 10, 2021",24.6,18.3 - 31.9
Symptoms of Anxiety Disorder,By State,Virginia,"Apr 28 - May 10, 2021",24.0,20.7 - 27.6
Symptoms of Anxiety Disorder,By State,Washington,"Apr 28 - May 10, 2021",28.3,25.3 - 31.5
Symptoms of Anxiety Disorder,By State,West Virginia,"Apr 28 - May 10, 2021",27.6,21.5 - 34.4
Symptoms of Anxiety Disorder,By State,Wisconsin,"Apr 28 - May 10, 2021",20.5,17.3 - 24.0
Symptoms of Anxiety Disorder,By State,Wyoming,"Apr 28 - May 10, 2021",25.3,20.5 - 30.5
Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,"Apr 28 - May 10, 2021",30.8,30.1 - 31.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,"Apr 28 - May 10, 2021",33.3,28.5 - 38.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,"Apr 28 - May 10, 2021",33.8,29.7 - 38.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,"Apr 28 - May 10, 2021",29.9,25.8 - 34.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,"Apr 28 - May 10, 2021",35.5,29.9 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,"Apr 28 - May 10, 2021",33.0,30.2 - 36.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,"Apr 28 - May 10, 2021",30.8,27.5 - 34.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,"Apr 28 - May 10, 2021",29.4,25.6 - 33.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,"Apr 28 - May 10, 2021",30.8,25.5 - 36.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,"Apr 28 - May 10, 2021",30.6,25.1 - 36.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,"Apr 28 - May 10, 2021",32.9,28.9 - 37.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,"Apr 28 - May 10, 2021",29.5,26.0 - 33.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,"Apr 28 - May 10, 2021",23.2,19.2 - 27.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,"Apr 28 - May 10, 2021",25.8,21.8 - 30.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,"Apr 28 - May 10, 2021",29.8,26.4 - 33.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,"Apr 28 - May 10, 2021",27.4,23.5 - 31.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,"Apr 28 - May 10, 2021",27.7,23.7 - 32.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,"Apr 28 - May 10, 2021",29.7,25.8 - 34.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,"Apr 28 - May 10, 2021",35.2,29.3 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,"Apr 28 - May 10, 2021",34.3,28.9 - 40.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,"Apr 28 - May 10, 2021",27.3,22.9 - 32.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,"Apr 28 - May 10, 2021",27.7,24.5 - 31.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,"Apr 28 - May 10, 2021",29.0,26.5 - 31.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,"Apr 28 - May 10, 2021",31.0,27.7 - 34.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,"Apr 28 - May 10, 2021",24.1,21.3 - 27.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,"Apr 28 - May 10, 2021",25.7,21.1 - 30.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,"Apr 28 - May 10, 2021",30.9,26.7 - 35.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,"Apr 28 - May 10, 2021",24.1,18.8 - 30.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,"Apr 28 - May 10, 2021",31.6,27.6 - 35.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,"Apr 28 - May 10, 2021",29.2,25.0 - 33.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,"Apr 28 - May 10, 2021",26.3,22.0 - 31.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,"Apr 28 - May 10, 2021",27.8,24.1 - 31.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,"Apr 28 - May 10, 2021",28.4,24.4 - 32.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,"Apr 28 - May 10, 2021",31.6,27.3 - 36.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,"Apr 28 - May 10, 2021",33.5,28.5 - 38.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,"Apr 28 - May 10, 2021",24.8,20.1 - 30.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,"Apr 28 - May 10, 2021",31.8,27.0 - 36.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,"Apr 28 - May 10, 2021",34.3,30.6 - 38.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,"Apr 28 - May 10, 2021",32.4,29.1 - 35.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,"Apr 28 - May 10, 2021",27.3,24.0 - 30.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,"Apr 28 - May 10, 2021",24.5,20.4 - 29.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,"Apr 28 - May 10, 2021",30.0,25.7 - 34.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,"Apr 28 - May 10, 2021",24.4,18.7 - 30.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,"Apr 28 - May 10, 2021",29.8,26.0 - 33.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,"Apr 28 - May 10, 2021",33.1,30.3 - 36.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,"Apr 28 - May 10, 2021",30.1,26.6 - 33.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,"Apr 28 - May 10, 2021",28.0,21.7 - 35.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,"Apr 28 - May 10, 2021",27.3,23.8 - 31.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,"Apr 28 - May 10, 2021",32.6,29.5 - 35.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,"Apr 28 - May 10, 2021",31.0,24.8 - 37.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,"Apr 28 - May 10, 2021",26.4,22.5 - 30.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,"Apr 28 - May 10, 2021",27.2,22.2 - 32.6
Symptoms of Depressive Disorder,National Estimate,United States,"May 12 - May 24, 2021",21.5,21.0 - 22.1
Symptoms of Depressive Disorder,By State,Alabama,"May 12 - May 24, 2021",22.7,17.8 - 28.2
Symptoms of Depressive Disorder,By State,Alaska,"May 12 - May 24, 2021",20.5,17.4 - 23.9
Symptoms of Depressive Disorder,By State,Arizona,"May 12 - May 24, 2021",19.3,16.1 - 22.8
Symptoms of Depressive Disorder,By State,Arkansas,"May 12 - May 24, 2021",22.1,17.2 - 27.6
Symptoms of Depressive Disorder,By State,California,"May 12 - May 24, 2021",24.7,22.5 - 27.0
Symptoms of Depressive Disorder,By State,Colorado,"May 12 - May 24, 2021",22.8,19.8 - 26.1
Symptoms of Depressive Disorder,By State,Connecticut,"May 12 - May 24, 2021",22.4,18.8 - 26.3
Symptoms of Depressive Disorder,By State,Delaware,"May 12 - May 24, 2021",19.2,14.7 - 24.3
Symptoms of Depressive Disorder,By State,District of Columbia,"May 12 - May 24, 2021",23.8,16.7 - 32.1
Symptoms of Depressive Disorder,By State,Florida,"May 12 - May 24, 2021",21.5,18.5 - 24.6
Symptoms of Depressive Disorder,By State,Georgia,"May 12 - May 24, 2021",20.9,17.2 - 25.0
Symptoms of Depressive Disorder,By State,Hawaii,"May 12 - May 24, 2021",19.7,14.2 - 26.3
Symptoms of Depressive Disorder,By State,Idaho,"May 12 - May 24, 2021",18.9,14.5 - 24.0
Symptoms of Depressive Disorder,By State,Illinois,"May 12 - May 24, 2021",21.0,17.4 - 25.0
Symptoms of Depressive Disorder,By State,Indiana,"May 12 - May 24, 2021",21.5,17.2 - 26.4
Symptoms of Depressive Disorder,By State,Iowa,"May 12 - May 24, 2021",19.2,15.4 - 23.5
Symptoms of Depressive Disorder,By State,Kansas,"May 12 - May 24, 2021",16.1,12.9 - 19.8
Symptoms of Depressive Disorder,By State,Kentucky,"May 12 - May 24, 2021",20.9,17.3 - 25.0
Symptoms of Depressive Disorder,By State,Louisiana,"May 12 - May 24, 2021",27.6,20.8 - 35.2
Symptoms of Depressive Disorder,By State,Maine,"May 12 - May 24, 2021",15.7,10.6 - 22.1
Symptoms of Depressive Disorder,By State,Maryland,"May 12 - May 24, 2021",18.0,14.7 - 21.7
Symptoms of Depressive Disorder,By State,Massachusetts,"May 12 - May 24, 2021",19.3,16.2 - 22.7
Symptoms of Depressive Disorder,By State,Michigan,"May 12 - May 24, 2021",16.9,14.3 - 19.7
Symptoms of Depressive Disorder,By State,Minnesota,"May 12 - May 24, 2021",17.0,14.3 - 20.0
Symptoms of Depressive Disorder,By State,Mississippi,"May 12 - May 24, 2021",23.0,17.7 - 29.0
Symptoms of Depressive Disorder,By State,Missouri,"May 12 - May 24, 2021",16.3,13.4 - 19.5
Symptoms of Depressive Disorder,By State,Montana,"May 12 - May 24, 2021",17.1,11.8 - 23.6
Symptoms of Depressive Disorder,By State,Nebraska,"May 12 - May 24, 2021",19.1,15.6 - 23.1
Symptoms of Depressive Disorder,By State,Nevada,"May 12 - May 24, 2021",19.4,15.9 - 23.1
Symptoms of Depressive Disorder,By State,New Hampshire,"May 12 - May 24, 2021",20.5,15.6 - 26.1
Symptoms of Depressive Disorder,By State,New Jersey,"May 12 - May 24, 2021",20.4,17.7 - 23.3
Symptoms of Depressive Disorder,By State,New Mexico,"May 12 - May 24, 2021",22.7,19.2 - 26.5
Symptoms of Depressive Disorder,By State,New York,"May 12 - May 24, 2021",23.7,19.4 - 28.3
Symptoms of Depressive Disorder,By State,North Carolina,"May 12 - May 24, 2021",17.9,14.5 - 21.7
Symptoms of Depressive Disorder,By State,North Dakota,"May 12 - May 24, 2021",16.6,11.4 - 22.9
Symptoms of Depressive Disorder,By State,Ohio,"May 12 - May 24, 2021",23.9,19.9 - 28.2
Symptoms of Depressive Disorder,By State,Oklahoma,"May 12 - May 24, 2021",23.3,17.7 - 29.7
Symptoms of Depressive Disorder,By State,Oregon,"May 12 - May 24, 2021",24.2,21.3 - 27.4
Symptoms of Depressive Disorder,By State,Pennsylvania,"May 12 - May 24, 2021",22.3,18.9 - 25.9
Symptoms of Depressive Disorder,By State,Rhode Island,"May 12 - May 24, 2021",17.3,13.3 - 21.9
Symptoms of Depressive Disorder,By State,South Carolina,"May 12 - May 24, 2021",16.9,12.9 - 21.5
Symptoms of Depressive Disorder,By State,South Dakota,"May 12 - May 24, 2021",16.3,12.3 - 21.0
Symptoms of Depressive Disorder,By State,Tennessee,"May 12 - May 24, 2021",25.1,20.9 - 29.6
Symptoms of Depressive Disorder,By State,Texas,"May 12 - May 24, 2021",22.8,20.1 - 25.6
Symptoms of Depressive Disorder,By State,Utah,"May 12 - May 24, 2021",20.6,17.6 - 23.8
Symptoms of Depressive Disorder,By State,Vermont,"May 12 - May 24, 2021",19.0,14.1 - 24.8
Symptoms of Depressive Disorder,By State,Virginia,"May 12 - May 24, 2021",22.7,19.1 - 26.6
Symptoms of Depressive Disorder,By State,Washington,"May 12 - May 24, 2021",20.2,17.7 - 22.9
Symptoms of Depressive Disorder,By State,West Virginia,"May 12 - May 24, 2021",24.0,18.6 - 30.1
Symptoms of Depressive Disorder,By State,Wisconsin,"May 12 - May 24, 2021",20.9,17.5 - 24.6
Symptoms of Depressive Disorder,By State,Wyoming,"May 12 - May 24, 2021",21.5,14.4 - 30.2
Symptoms of Anxiety Disorder,National Estimate,United States,"May 12 - May 24, 2021",25.7,25.2 - 26.3
Symptoms of Anxiety Disorder,By State,Alabama,"May 12 - May 24, 2021",23.8,19.4 - 28.7
Symptoms of Anxiety Disorder,By State,Alaska,"May 12 - May 24, 2021",23.5,19.9 - 27.5
Symptoms of Anxiety Disorder,By State,Arizona,"May 12 - May 24, 2021",23.0,19.8 - 26.6
Symptoms of Anxiety Disorder,By State,Arkansas,"May 12 - May 24, 2021",29.8,24.7 - 35.4
Symptoms of Anxiety Disorder,By State,California,"May 12 - May 24, 2021",26.5,24.0 - 29.0
Symptoms of Anxiety Disorder,By State,Colorado,"May 12 - May 24, 2021",28.2,23.9 - 32.8
Symptoms of Anxiety Disorder,By State,Connecticut,"May 12 - May 24, 2021",27.4,23.0 - 32.2
Symptoms of Anxiety Disorder,By State,Delaware,"May 12 - May 24, 2021",21.3,17.5 - 25.5
Symptoms of Anxiety Disorder,By State,District of Columbia,"May 12 - May 24, 2021",26.6,20.7 - 33.2
Symptoms of Anxiety Disorder,By State,Florida,"May 12 - May 24, 2021",25.8,22.8 - 29.1
Symptoms of Anxiety Disorder,By State,Georgia,"May 12 - May 24, 2021",26.1,22.2 - 30.2
Symptoms of Anxiety Disorder,By State,Hawaii,"May 12 - May 24, 2021",19.9,14.9 - 25.7
Symptoms of Anxiety Disorder,By State,Idaho,"May 12 - May 24, 2021",23.9,19.9 - 28.3
